hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,meal_name,country,country_full,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,adr_clean,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,C,C,3,No Deposit,NULL,NULL,0,Transient,0,invalid,0,0,Check-Out,01-07-2015
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,C,C,4,No Deposit,NULL,NULL,0,Transient,0,invalid,0,0,Check-Out,01-07-2015
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Direct,Direct,0,0,0,A,C,0,No Deposit,NULL,NULL,0,Transient,75,75,0,0,Check-Out,02-07-2015
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,NULL,0,Transient,75,75,0,0,Check-Out,02-07-2015
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,98,98,0,1,Check-Out,03-07-2015
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,bed & breakfast,GBR,United Kingdom of Great Britain and Northern Ireland (the),Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,98,98,0,1,Check-Out,03-07-2015
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,bed & breakfast,PRT,Portugal,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,107,107,0,0,Check-Out,03-07-2015
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,full board,PRT,Portugal,Direct,Direct,0,0,0,C,C,0,No Deposit,303,NULL,0,Transient,103,103,0,1,Check-Out,03-07-2015
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,82,82,0,1,Canceled,06-05-2015
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,half board,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,NULL,0,Transient,105.5,105.5,0,0,Canceled,22-04-2015
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,123,0,0,Canceled,23-06-2015
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,half board,PRT,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,145,145,0,0,Check-Out,05-07-2015
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,USA,United States of America (the),Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,97,97,0,3,Check-Out,05-07-2015
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,half board,ESP,Spain,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,NULL,0,Transient,154.77,154.77,0,1,Check-Out,05-07-2015
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,NULL,0,Transient,94.71,94.71,0,0,Check-Out,05-07-2015
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,IRL,Ireland,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,97,97,0,3,Check-Out,05-07-2015
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,bed & breakfast,PRT,Portugal,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,NULL,0,Contract,97.5,97.5,0,0,Check-Out,05-07-2015
